gender,period,cat_age_map,gnr,nbcas,geo_unit_name,pop
2,2004,65+,6629,8,Meinier,403
2,2019,65+,6614,4,Choulex,404
2,1998,0-19,6604,0,Avusy,406
1,2007,65+,6641,7,Troinex,408
2,1992,0-19,6615,0,Collex-Bossy,408
1,1989,0-19,6604,0,Avusy,409
1,1992,20-64,6635,1,Presinge,411
2,1992,0-19,6604,0,Avusy,411
1,2016,20-64,6624,1,Gy,412
2,2016,65+,6626,9,Jussy,412
2,2004,0-19,6611,0,Chancy,414
2,2019,65+,6615,1,Collex-Bossy,415
1,2004,65+,6622,11,Genthod,417
2,2019,65+,6626,7,Jussy,418
1,2019,0-19,6614,0,Choulex,419
1,1989,0-19,6615,0,Collex-Bossy,421
2,1992,65+,6622,5,Genthod,421
2,1995,65+,6622,7,Genthod,421
2,2016,65+,6603,3,Avully,421
1,1995,65+,6642,14,Vandoeuvres,422
2,1992,65+,6602,9,Anières,422
1,2019,0-19,6626,0,Jussy,423
2,1989,0-19,6604,0,Avusy,423
2,2016,0-19,6626,0,Jussy,423
1,2016,0-19,6625,0,Hermance,424
2,1998,65+,6641,7,Troinex,424
1,2004,65+,6632,9,Perly-Certoux,425
2,2010,0-19,6626,0,Jussy,427
1,1995,65+,6618,7,Confignon,428
1,2019,0-19,6601,0,Aire-la-Ville,428
1,2004,0-19,6625,0,Hermance,430
2,2010,20-64,6637,1,Russin,430
2,2019,0-19,6626,0,Jussy,430
1,1992,0-19,6604,0,Avusy,431
2,1995,0-19,6604,0,Avusy,431
1,2019,0-19,6604,0,Avusy,432
2,2010,65+,6619,5,Corsier,432
2,1989,20-64,6635,4,Presinge,433
2,2019,20-64,6624,4,Gy,435
1,1998,20-64,6635,1,Presinge,436
2,2013,0-19,6601,0,Aire-la-Ville,438
1,2013,20-64,6624,1,Gy,440
2,2001,65+,6622,4,Genthod,440
1,1992,0-19,6615,0,Collex-Bossy,441
2,2019,0-19,6601,0,Aire-la-Ville,441
1,2016,0-19,6604,0,Avusy,442
2,1989,65+,6622,4,Genthod,443
